Elements: All (Neon - Fermium)
Transitions: K edge, L1 edge, L2 edge, and L3 edge
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Ge		K edge	11113.82	0.16	11103.76	0.74	11103.63	0.55				1d
Ge		L1 edge	1421.74	0.73	1413.23	0.24	1412.9	1.9				1d
Ge		L2 edge	1258.15	0.35	1249.32	0.19	1248.08	0.34				1d
Ge		L3 edge	1227.15	0.31	1217.06	0.18	1217.33	0.55				1d
As		K edge	11876.74	0.18	11864.3	1.7	11867.15	0.85				1d
As		L1 edge	1540.04	0.70	1529.32	0.28	1532.2	2.5				1d
As		L2 edge	1368.90	0.35	1358.71	0.22	1359.74	0.26				1d
As		L3 edge	1333.26	0.31	1323.61	0.21	1323.92	0.41				1d
Se		K edge	12666.72	0.19	12654.61	0.19	12656.72	0.54				1d
Se		L1 edge	1663.23	0.73	1652.44	0.33	1653.6	2.9				1d
Se		L2 edge	1484.90	0.35	1474.75	0.26	1474.2	1.0				1d
Se		L3 edge	1444.18	0.31	1433.98	0.25	1434.24	0.13				1d
Br		K edge	13483.86	0.19	13470.5	2.2	13474.10	0.65				1d
Br		L1 edge	1791.81	0.76	1781.6	1.9	1781.8	3.5				1d
Br		L2 edge	1606.17	0.35	1599.2	1.5	1596.31	0.71				1d
Br		L3 edge	1559.84	0.31	1552.9	1.4	1549.98	0.58				1d
Kr		K edge	14328.06	0.20	14324.61	0.24	14327.19	0.13				1d
Kr		L1 edge	1925.49	0.79	1916.3	4.4	1920.4	1.2				1d
Kr		L2 edge	1732.49	0.36	1729.66	0.36	1730.90	0.50				1d
Kr		L3 edge	1680.06	0.31	1677.25	0.34	1679.07	0.39				1d
Rb		K edge	15207.74	0.22	15202.5	1.4	15201.5	2.0				1d
Rb		L1 edge	2072.55	0.81	2063.6	2.5	2066.07	0.37				1d
Rb		L2 edge	1871.98	0.36	1866.08	0.42	1865.9	1.7				1d
Rb		L3 edge	1812.69	0.31	1806.80	0.39	1806.2	1.8				1d
Sr		K edge	16115.26	0.23	16107.2	1.5	16105.55	0.81				1d
Sr		L1 edge	2225.51	0.83	2217.1	2.9	2216.17	0.63				1d
Sr		L2 edge	2017.25	0.36	2008.46	0.48	2007.44	0.23				1d
Sr		L3 edge	1950.46	0.31	1941.17	0.45	1940.48	0.26				1d
Y		K edge	17047.90	0.24	17036.612	0.050	17036.64	0.55				13d
Y		L1 edge	2380.76	0.85	2376.5	3.4	2370.78	0.24				1d
Y		L2 edge	2164.89	0.36	2153.97	0.55	2153.47	0.31				1d
Y		L3 edge	2089.76	0.31	2079.54	0.52	2078.26	0.54				1d
Zr		K edge	18008.15	0.26	17995.872	0.080	17996.22	0.79				13d
Zr		L1 edge	2541.10	0.87	2541.1	3.9	2530.90	0.21				1d
Zr		L2 edge	2317.53	0.36	2305.36	0.63	2305.68	0.64				1d
Zr		L3 edge	2233.28	0.32	2222.30	0.59	2221.29	0.59				1d
Nb		K edge	18990.67	0.27	18982.961	0.040	18983.61	0.85				13d
Nb		L1 edge	2700.53	0.88	2710.0	4.4	2695.46	0.25				1d
Nb		L2 edge	2469.32	0.35	2464.37	0.72	2462.54	0.31				1d
Nb		L3 edge	2375.01	0.30	2370.60	0.67	2368.24	0.44				1d
Mo		K edge	20008.81	0.28	20000.351	0.020	20000.5	2.1				13d
Mo		L1 edge	2873.84	0.88	2880.6	5.0	2867.20	0.26				1d
Mo		L2 edge	2634.63	0.36	2627.30	0.82	2625.98	0.33				1d
Mo		L3 edge	2529.71	0.31	2523.56	0.76	2521.1	1.6				1d
Tc		K edge	21050.47	0.30	21047.49	0.53	21045.67	0.85				1d
Tc		L1 edge	3046.63	0.91	3055.3	5.6						1d
Tc		L2 edge	2799.19	0.36	2794.91	0.93	2794.43	0.79				1d
Tc		L3 edge	2682.91	0.31	2677.80	0.86	2677.90	0.54				1d
Ru		K edge	22127.70	0.32	22119.56	0.58	22117.91	0.55				1d
Ru		L1 edge	3232.69	0.93	3232.9	6.2	3225.1	1.4				1d
Ru		L2 edge	2977.03	0.37	2966.1	1.1	2967.45	0.55				1d
Ru		L3 edge	2848.19	0.32	2837.77	0.96	2838.62	0.21				1d
Rh		K edge	23230.23	0.32	23221.99	0.30	23220.14	0.44				13d
Rh		L1 edge	3420.89	0.92	3416.4	7.0	3412.4	1.6				1d
Rh		L2 edge	3156.74	0.37	3144.76	0.59	3146.39	0.44				1d
Rh		L3 edge	3014.48	0.31	3002.07	0.54	3004.00	0.37				1d
Pd		K edge	24357.63	0.36	24352.59	0.20	24350.91	0.51				13d
Pd		L1 edge	3609.87	0.93	3607.3	1.6	3604.74	0.64				1d
Pd		L2 edge	3337.01	0.37	3330.35	0.13	3330.66	0.46				1d
Pd		L3 edge	3180.38	0.32	3173.01	0.12	3173.75	0.51				1d
Ag		K edge	25523.71	0.39	25515.59	0.30	25515.51	0.48				13d
Ag		L1 edge	3814.27	0.97	3807.34	0.17	3807.41	0.34				1d
Ag		L2 edge	3533.04	0.38	3525.83	0.15	3525.24	0.26				1d
Ag		L3 edge	3360.71	0.32	3350.96	0.13	3352.58	0.48				1d
Cd		K edge	26720.58	0.41	26713.29	0.20	26712.94	0.71				13d
Cd		L1 edge	4026.07	0.98	4019.01	0.19	4019.68	0.22				1d
Cd		L2 edge	3736.10	0.39	3728.01	0.17	3728.54	0.33				1d
Cd		L3 edge	3546.84	0.32	3537.60	0.15	3538.88	0.45				1d
